rho,final_k
0.03501973136898184165,1
0.045003882416452534874,1
0.031666965550806465437,1
0.0383855395973273502,1
0.025833415740719595284,1
0.03332718308965598631,1
0.02417923498132138275,1
0.024167747489912161615,1
0.034147634348604794204,1
0.037503464181227423074,1
0.034166978675137771012,1
0.0316607025962621725,1
0.03420939169648871535,1
0.033345316073739699325,1
0.03333352624340514749,1
0.03916731297937491581,1
0.035869934359895475434,1
0.029863728992834847817,1
0.042503963834681349607,1
0.03833658188869393708,1
0.035001446090596285715,1
0.04087390549053350304,1
0.029166077242000422034,1
0.033332780388348162447,1
0.030003270165196092586,1
0.024166859933041267614,1
0.035851448382389582137,1
0.034424462148705655614,1
0.030017124513236573417,1
0.030841071986129452944,1
0.03750335652534088796,1
0.023333089771072565587,1
0.038337612977801864353,1
0.03166397568905284695,1
0.030081919222877702661,1
0.027503370902561860258,1
0.032500102313368374377,1
0.040826868536331625265,1
0.035833561412223208327,1
0.03166631034720045946,1
0.037672007205097254335,1
0.036667989778981113326,1
0.03083126353156011279,1
0.02753040790250513332,1
0.02166652961955216259,1
0.03005439670343145143,1
0.032003363754689000163,1
0.029167381576735133857,1
0.04250095117788870636,1
0.03414493683293911489,1
0.0291954421743236665,1
0.032474473154541173455,1
0.041653935458685867143,1
0.03248322001872087088,1
0.04081769813949523563,1
0.029167503320529151207,1
0.03333395943821008191,1
0.03765430488551768069,1
0.035001175143287044852,1
0.028336448396142414892,1
0.03583372253907010167,1
0.039161398120759216677,1
0.033357305488262229145,1
0.03416882835880186131,1
0.03331014706295262375,1
0.03084348358406894301,1
0.032500328297829140226,1
0.025001582977928510895,1
0.027502890254934445691,1
0.030004750899554148894,1
0.035836089734672516762,1
0.036722258783460622505,1
0.035000040586525354102,1
0.030836855133442273762,1
0.037499944178306776273,1
0.03509898739080753462,1
0.029158039387132152898,1
0.02501010101959881342,1
0.030002638162887281693,1
0.031666186549398971323,1
0.030852354464695582418,1
0.044163181478831063683,1
0.039189876209248767847,1
0.026666295618346546257,1
0.037486495253113566444,1
0.03500398409732008249,1
0.04166707776072161666,1
0.034172159455417485993,1
0.03750042998005091238,1
0.03498838171901672739,1
0.032512434778388184826,1
0.041667560052649620186,1
0.037430542079423045075,1
0.041715101842456369117,1
0.028345704304598630484,1
0.033333324037224310045,1
0.038333638713856522378,1
0.03249842642057988986,1
0.032508306170081298255,1
0.030000506189105251445,1
