rho,final_k
0.025206757348413926448,22
0.027155563502800429056,24
0.026202988779722942787,24
0.024059796665316540899,29
0.02303102314132237721,8
0.022008347106676700499,30
0.026089409058431843495,21
0.024353226785408054564,8
0.024008489789203373947,24
0.025317008320335539593,21
0.025372417311730543428,25
0.025514600676875951368,8
0.02300836185390472623,29
0.024235255301636947907,26
0.023965256741822278396,28
0.02608541036273650732,24
0.026330121201596690162,28
0.026918400349300794098,25
0.024941806905260035205,12
0.024550247159863749802,28
0.02571452151426279802,29
0.024834430595192021865,21
0.025180855783045049626,28
0.024730576979662267513,24
0.024994252441743657672,22
0.02524796157688464086,27
0.024527058053394490348,24
0.024383475262287305483,27
0.025499103845139021841,26
0.025778178528710743283,29
0.024803412939205095959,18
0.024361885649524789148,18
0.025460022564401043998,28
0.024256342308447666635,24
0.024661553182276003539,25
0.02666322615533116386,25
0.02872104493088603678,6
0.025830286667069284004,26
0.024592066952380198272,27
0.026158172885117017549,28
0.024099686861689748013,30
0.023515327116217291454,29
0.024031516274581753027,29
0.025894079255571437732,28
0.025964459625804500727,18
0.028246783017651130405,27
0.025374421294249900769,24
0.022720320456625771071,29
0.026922719281338959879,19
0.0274114820744171669,27
0.02677288445422614098,30
0.024793354096948307974,21
0.024331073389532106738,29
0.024722462140848123477,28
0.026315187673447349268,26
0.025396160568920546235,21
0.02546249479772325478,29
0.024891077360549846226,24
0.027494507320236902793,15
0.024741967613869624266,24
0.023956173516867502053,10
0.024965868549100380129,21
0.025458372957015454756,28
0.024627658764555276787,19
0.025709161480047853823,26
0.024262351592378276371,23
0.027058416954558164372,24
0.025045126858157976504,29
0.025881901761401118043,28
0.023379509383139391172,28
0.027361470451490909693,27
0.025081801688357013417,24
0.02413488851869728538,23
0.025020400896053532176,23
0.025128694818054679518,22
0.026316595560942054182,21
0.024026436765052085016,26
0.02602746884510721369,29
0.024814111768724561611,9
0.0239753612009274003,22
0.025923965492729087098,25
0.024075486936457004225,28
0.027583843492228602167,18
0.023840268898810677448,16
0.02383480067507637122,28
0.025385828490896112773,12
0.028070949947905202855,20
0.024549696225442432494,30
0.0239361078897709788,23
0.02474328196798029517,19
0.024997772320501524516,20
0.02530158708987354407,11
0.025753846855641741668,7
0.021660040662901473056,29
0.025516483117443965489,30
0.025410846718247010117,27
0.026218115761341398526,27
0.026300438183893774428,26
0.025718742756310461435,29
0.024867238236534257274,30
